angle_deg,distance_mm,quality,rotation
138.67,17.8,177,2
139.59,22.8,173,2
140.51,18.2,176,2
141.43,0.0,0,2
142.35,0.0,0,2
143.27,0.0,0,2
144.18,0.0,0,2
145.10,0.0,0,2
146.02,0.0,0,2
146.94,0.0,0,2
147.86,0.0,0,2
148.78,0.0,0,2
149.69,0.0,0,2
150.61,0.0,0,2
151.53,3.0,145,2
152.45,0.0,0,2
153.37,0.0,0,2
154.29,0.0,0,2
155.20,0.0,0,2
156.12,0.0,0,2
157.04,0.0,0,2
157.96,0.0,0,2
158.88,0.0,0,2
159.80,0.0,0,2
160.71,0.0,0,2
161.63,0.0,0,2
162.55,0.0,0,2
163.47,0.0,0,2
164.39,0.0,0,2
165.31,0.0,0,2
166.22,0.0,0,2
167.14,0.0,0,2
168.06,0.0,0,2
168.98,0.0,0,2
169.90,0.0,0,2
170.82,0.0,0,2
171.73,0.0,0,2
172.65,0.0,0,2
173.57,0.0,0,2
174.49,0.0,0,2
175.41,0.0,0,2
176.33,0.0,0,2
177.24,0.0,0,2
178.16,0.0,0,2
179.08,0.0,0,2
180.00,0.0,0,2
180.92,0.0,0,2
181.84,0.0,0,2
182.76,0.0,0,2
183.67,0.0,0,2
184.59,0.0,0,2
185.51,0.0,0,2
186.43,0.0,0,2
187.35,0.0,0,2
188.27,0.0,0,2
189.18,0.0,0,2
190.10,0.0,0,2
191.02,0.0,0,2
191.94,0.0,0,2
192.86,0.0,0,2
193.78,0.0,0,2
194.69,0.0,0,2
195.61,0.0,0,2
196.53,0.0,0,2
197.45,0.0,0,2
198.37,0.0,0,2
199.29,0.0,0,2
200.20,0.0,0,2
201.12,0.0,0,2
202.04,0.0,0,2
202.96,0.0,0,2
203.88,0.0,0,2
204.80,0.0,0,2
205.71,0.0,0,2
206.63,0.0,0,2
207.55,0.0,0,2
208.47,0.0,0,2
209.39,0.0,0,2
210.31,0.0,0,2
211.22,0.0,0,2
212.14,0.0,0,2
213.06,0.0,0,2
213.98,0.0,0,2
214.90,0.0,0,2
215.82,0.0,0,2
216.73,0.0,0,2
217.65,0.0,0,2
218.57,135.0,1,2
219.49,135.2,4,2
220.41,135.2,6,2
221.33,135.2,9,2
222.24,134.8,12,2
223.16,135.0,15,2
224.08,134.8,18,2
225.00,135.0,21,2
225.92,135.0,24,2
226.84,134.8,28,2
227.76,134.8,31,2
228.67,134.5,36,2
229.59,134.5,40,2
230.51,134.2,45,2
231.43,134.2,49,2
232.35,134.2,53,2
233.27,133.8,60,2
234.18,134.2,64,2
235.10,133.8,70,2
236.02,133.8,74,2
236.94,133.0,85,2
237.86,133.8,87,2
238.78,69.2,253,2
239.69,0.0,0,2
240.61,0.0,0,2
241.53,71.2,243,2
242.45,70.0,245,2
243.37,69.0,252,2
244.29,0.0,0,2
245.20,128.5,64,2
246.12,130.2,63,2
247.04,0.0,0,2
247.96,128.8,66,2
248.88,0.0,0,2
249.80,128.5,64,2
250.71,0.0,0,2
251.63,0.0,0,2
252.55,0.0,0,2
253.47,0.0,0,2
254.39,0.0,0,2
255.31,0.0,0,2
